"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 31 05:42:31 UTC 2023","Wed May 31 05:42:33 UTC 2023","1932","products.reqres.tests","user_api_tests","TestUserModules","","","test_get_user_not_found","Scenarios: user creation & result verification"
"passed","Wed May 31 05:42:33 UTC 2023","Wed May 31 05:42:33 UTC 2023","31","products.reqres.tests","user_api_tests","TestUserModules","","","test_get_user_happy_flow","Scenarios: user creation & result verification"
"passed","Wed May 31 05:42:29 UTC 2023","Wed May 31 05:42:31 UTC 2023","1940","products.reqres.tests","user_api_tests","TestUserModules","","","test_create_user","Scenarios: user creation & result verification"
